Скраћеница	Пуни облик / значење	Област
и тд.	и тако даље	опште
итд.	и тако даље	опште
и сл.	и слично	опште
тј.	то јест	опште
нпр.	на пример	опште
напр.	на пример	опште
одн.	односно	опште
прибл.	приближно	опште
евент.	евентуално	опште
сл.	слично / следећи / слика	опште
ист.	исто	опште
уп.	упореди	научно
в.	види / век	опште
ост.	остало	опште
пос.	посебно	опште
аут.	аутор	књижевност
прев.	превод / превео	књижевност
ур.	уредио	издаваштво
изд.	издање / издавач	издаваштво
стр.	страна	издаваштво
св.	свезак / свети	издаваштво / религија
прил.	прилог	опште
бел.	белешка	опште
нап.	напомена	опште
насл.	наслов	издаваштво
поднасл.	поднаслов	издаваштво
ред.	редакција / редактор	медији
ISBN	међународни број књиге	издаваштво
ISSN	међународни број серијске публикације	издаваштво
UDK	универзална децимална класификација	библиотекарство
COBISS	библиотечки информациони систем	библиотекарство
апстр.	апстракт	наука
реф.	референца	наука
цит.	цитирано	наука
моногр.	монографија	наука
зборн.	зборник	наука
рец.	рецензија	наука
г.	господин / година	титуле / време
гђа	госпођа	титуле
гђица	госпођица	титуле
др	доктор / друг	титуле
др сц.	доктор наука	академско
др сци.	доктор наука	академско
др мед.	доктор медицине	медицина
др вет.	доктор ветеринарске медицине	медицина
др прав.	доктор правних наука	академско
др техн.	доктор техничких наука	академско
проф.	професор	академско
ред. проф.	редовни професор	академско
ванр. проф.	ванредни професор	академско
доц.	доцент	академско
ас.	асистент	академско
ас. др	асистент доктор	академско
мр	магистар	академско
маст.	мастер	академско
дипл.	дипломирани	академско
дипл. инж.	дипломирани инжењер	стручно
инж.	инжењер	стручно
арх.	архитекта / архива	стручно / управа
ек.	економиста	стручно
правн.	правник	стручно
пед.	педагог	стручно
псих.	психолог	стручно
соц.	социолог	стручно
спец.	специјалиста	медицина
субспец.	субспецијалиста	медицина
прим.	примаријус / примљено	медицина / управа
ген.	генерал / генус	војска / биологија
пук.	пуковник	војска
мај.	мајор	војска
кап.	капетан	војска
поруч.	поручник	војска
о.	отац	религија
еп.	епископ	религија
митр.	митрополит	религија
патр.	патријарх	религија
предс.	председник	политика
мин.	министар / минут / минимум	политика / време / математика
зам.	заменик	управа
градон.	градоначелник	политика
акад.	академик	почасно
п.н.е.	пре нове ере	време
н.е.	нове ере	време
кг	килограм	мере
г	грам	мере
м	метар	мере
км	километар	мере
л	литар	мере
°C	степен Целзијуса	физика
%	проценат	математика
бр.	број	опште
чл.	члан	право
ст.	став / станица	право / саобраћај
тач.	тачка	право
зак.	закон	право
ул.	улица	адресе
бб	без броја	адресе
ОШ	Основна школа	образовање
СШ	Средња школа	образовање
Гимн.	Гимназија	образовање
фак.	Факултет	образовање
унив.	Универзитет	образовање
ЕТФ	Електротехнички факултет	образовање
ПМФ	Природно-математички факултет	образовање
ФОН	Факултет организационих наука	образовање
ФПН	Факултет политичких наука	образовање
ПФ	Правни факултет	образовање
РС	Република Србија / Република Српска	држава
ЕУ	Европска унија	политика
УН	Уједињене нације	политика
МУП	Министарство унутрашњих послова	управа
ХИВ	вирус хумане имунодефицијенције	медицина
ДНК	дезоксирибонуклеинска киселина	биологија
ИТ	информационе технологије	ИТ
ОС	оперативни систем / основни суд	ИТ / право
PDF	PDF формат	ИТ
РТС	Радио-телевизија Србије	медији
ТВ	телевизија	медији
нзм	не знам	сленг
врв	вероватно	сленг
лол	LOL	сленг
ок	у реду	сленг
